CHR_ID,ELEVATION,READ_DATE,DATUM_ADJ
01003300,1224.49,1941/7/19,NGVD 29
01003300,1224.47,1941/7/20,NGVD 29
01003300,1224.47,1941/7/21,NGVD 29
01003300,1224.47,1941/7/22,NGVD 29
01003300,1224.47,1941/7/24,NGVD 29
01003300,1224.47,1941/7/25,NGVD 29
01003300,1224.47,1941/7/26,NGVD 29
01003300,1224.47,1941/7/27,NGVD 29
01003300,1224.39,1941/7/29,NGVD 29
01003300,1224.39,1941/7/30,NGVD 29
01003300,1224.39,1941/7/31,NGVD 29
01003300,1224.37,1941/8/1,NGVD 29
01003300,1224.37,1941/8/2,NGVD 29
01003300,1224.29,1941/8/3,NGVD 29
01003300,1224.29,1941/8/4,NGVD 29
01003300,1224.29,1941/8/5,NGVD 29
01003300,1224.29,1941/8/6,NGVD 29
01003300,1224.29,1941/8/7,NGVD 29
01003300,1224.29,1941/8/8,NGVD 29
01003300,1224.29,1941/8/9,NGVD 29
01003300,1224.29,1941/8/10,NGVD 29
01003300,1224.29,1941/8/11,NGVD 29
01003300,1224.29,1941/8/14,NGVD 29
01003300,1224.29,1941/8/15,NGVD 29
01003300,1224.29,1941/8/16,NGVD 29
01003300,1224.29,1941/8/24,NGVD 29
01003300,1224.29,1941/8/25,NGVD 29
01003300,1224.23,1941/8/27,NGVD 29
01003300,1224.23,1941/8/28,NGVD 29
01003300,1224.29,1941/8/29,NGVD 29
01003300,1224.39,1941/8/30,NGVD 29
01003300,1224.49,1941/8/31,NGVD 29
01003300,1224.49,1941/9/1,NGVD 29
01003300,1224.49,1941/9/2,NGVD 29
01003300,1224.49,1941/9/3,NGVD 29
01003300,1224.49,1941/9/4,NGVD 29
01003300,1224.49,1941/9/5,NGVD 29
01003300,1224.49,1941/9/6,NGVD 29
01003300,1224.59,1941/9/7,NGVD 29
01003300,1224.59,1941/9/8,NGVD 29
01003300,1224.63,1941/9/9,NGVD 29
01003300,1224.63,1941/9/10,NGVD 29
01003300,1224.63,1941/9/12,NGVD 29
01003300,1224.63,1941/9/13,NGVD 29
01003300,1224.63,1941/9/14,NGVD 29
01003300,1224.95,1941/9/15,NGVD 29
01003300,1224.95,1941/9/16,NGVD 29
01003300,1224.95,1941/9/18,NGVD 29
01003300,1224.95,1941/9/19,NGVD 29
01003300,1224.95,1941/9/20,NGVD 29
01003300,1224.89,1941/9/21,NGVD 29
01003300,1224.79,1941/9/22,NGVD 29
01003300,1224.71,1941/9/23,NGVD 29
01003300,1224.71,1941/9/24,NGVD 29
